Tick #1
Last tick 0 agents died
50/50 players still alive:
Agent #40 at (178.13695333076438, 206.7447182569669), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #41 at (35.587456238125064, 299.2680958711373), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #42 at (58.89277564749185, 293.4764582285233), 100.0/100.0 HP left, Weapon: Pistol, Armor: none
Agent #43 at (214.57116639641336, 35.48432847455831), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #44 at (414.59269750461533, 17.31192987631141), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #45 at (37.87449041266922, 419.159983479621), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #46 at (426.42317219003075, 483.22257885144063), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #47 at (243.21583597908204, 13.315371448148378), 100.0/100.0 HP left, Weapon: Shotgun, Armor: none
Agent #48 at (58.606225711343136, 284.88102242074433), 94.0/100.0 HP left, Weapon: none, Armor: none
Agent #49 at (483.5804064329066, 186.0636399249731), 100.0/100.0 HP left, Weapon: Pistol, Armor: none
Tick #5
Last tick 0 agents died
50/50 players still alive:
Agent #0 at (242.72600701661517, 485.2047864477149), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #1 at (327.509686925156, 149.22883569221815), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #2 at (130.14766880660247, 229.54543687120855), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #3 at (102.00214870123774, 238.553500416812), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #4 at (79.9000848163721, 79.57211282585081), 100.0/100.0 HP left, Weapon: Shotgun, Armor: none
Agent #5 at (471.5135737768627, 410.2803031474743), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #6 at (168.2504739934148, 421.3719471144885), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #7 at (158.51075309647922, 195.24715206351863), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #8 at (150.08076941304057, 83.7027102070015), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #9 at (178.05242585303642, 189.65059503340012), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #10 at (443.02284703212933, 90.56418707720547), 96.0/100.0 HP left, Weapon: none, Armor: none
Agent #11 at (90.48759275528238, 468.20935453846494), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #12 at (405.70674343536064, 19.46084057899576), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #13 at (476.34778275290637, 318.7204848464443), 88.0/100.0 HP left, Weapon: none, Armor: none
Agent #14 at (367.00488958644746, 293.6712346781976), 100.0/100.0 HP left, Weapon: none, Armor: none
